Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.004862,"100,000",486,"99,577","7,859,048",78.6
1-2,0.000373,"99,514",37,"99,495","7,759,471",78.0
2-3,0.000251,"99,477",25,"99,464","7,659,976",77.0
3-4,0.000174,"99,452",17,"99,443","7,560,511",76.0
4-5,0.000149,"99,434",15,"99,427","7,461,068",75.0
5-6,0.000135,"99,420",13,"99,413","7,361,641",74.0
6-7,0.000118,"99,406",12,"99,400","7,262,228",73.1
7-8,0.000105,"99,394",10,"99,389","7,162,828",72.1
8-9,0.000094,"99,384",9,"99,379","7,063,439",71.1
9-10,0.000087,"99,375",9,"99,370","6,964,060",70.1
10-11,0.000086,"99,366",8,"99,362","6,864,689",69.1
11-12,0.000096,"99,357",10,"99,353","6,765,328",68.1
12-13,0.000124,"99,348",12,"99,342","6,665,975",67.1
13-14,0.000173,"99,336",17,"99,327","6,566,633",66.1
14-15,0.000239,"99,318",24,"99,307","6,467,306",65.1
15-16,0.000310,"99,295",31,"99,279","6,368,000",64.1
16-17,0.000385,"99,264",38,"99,245","6,268,720",63.2
17-18,0.000471,"99,226",47,"99,202","6,169,476",62.2
18-19,0.000567,"99,179",56,"99,151","6,070,273",61.2
19-20,0.000668,"99,123",66,"99,090","5,971,123",60.2
20-21,0.000774,"99,056",77,"99,018","5,872,033",59.3
21-22,0.000875,"98,980",87,"98,936","5,773,015",58.3
22-23,0.000963,"98,893",95,"98,846","5,674,078",57.4
23-24,0.001032,"98,798",102,"98,747","5,575,233",56.4
24-25,0.001087,"98,696",107,"98,642","5,476,486",55.5
25-26,0.001138,"98,589",112,"98,533","5,377,844",54.5
26-27,0.001190,"98,476",117,"98,418","5,279,311",53.6
27-28,0.001242,"98,359",122,"98,298","5,180,893",52.7
28-29,0.001295,"98,237",127,"98,174","5,082,595",51.7
29-30,0.001350,"98,110",132,"98,044","4,984,422",50.8
30-31,0.001408,"97,977",138,"97,908","4,886,378",49.9
31-32,0.001465,"97,840",143,"97,768","4,788,469",48.9
32-33,0.001521,"97,696",149,"97,622","4,690,702",48.0
33-34,0.001575,"97,548",154,"97,471","4,593,080",47.1
34-35,0.001627,"97,394",158,"97,315","4,495,609",46.2
35-36,0.001689,"97,235",164,"97,153","4,398,294",45.2
36-37,0.001758,"97,071",171,"96,986","4,301,141",44.3
37-38,0.001824,"96,901",177,"96,812","4,204,155",43.4
38-39,0.001886,"96,724",182,"96,633","4,107,343",42.5
39-40,0.001951,"96,541",188,"96,447","4,010,710",41.5
40-41,0.002034,"96,353",196,"96,255","3,914,263",40.6
41-42,0.002144,"96,157",206,"96,054","3,818,007",39.7
42-43,0.002274,"95,951",218,"95,842","3,721,953",38.8
43-44,0.002418,"95,733",231,"95,617","3,626,112",37.9
44-45,0.002576,"95,501",246,"95,378","3,530,495",37.0
45-46,0.002744,"95,255",261,"95,125","3,435,116",36.1
46-47,0.002936,"94,994",279,"94,854","3,339,992",35.2
47-48,0.003176,"94,715",301,"94,565","3,245,137",34.3
48-49,0.003475,"94,414",328,"94,250","3,150,573",33.4
49-50,0.003824,"94,086",360,"93,906","3,056,322",32.5
50-51,0.004189,"93,726",393,"93,530","2,962,416",31.6
51-52,0.004563,"93,334",426,"93,121","2,868,886",30.7
52-53,0.004973,"92,908",462,"92,677","2,775,765",29.9
53-54,0.005418,"92,446",501,"92,195","2,683,088",29.0
54-55,0.005886,"91,945",541,"91,674","2,590,893",28.2
55-56,0.006370,"91,404",582,"91,113","2,499,219",27.3
56-57,0.006857,"90,822",623,"90,510","2,408,106",26.5
57-58,0.007347,"90,199",663,"89,867","2,317,596",25.7
58-59,0.007847,"89,536",703,"89,185","2,227,728",24.9
