Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.010727,"100,000","1,073","99,062","7,471,471",74.7
1-2,0.000683,"98,927",68,"98,894","7,372,409",74.5
2-3,0.000489,"98,860",48,"98,836","7,273,515",73.6
3-4,0.000322,"98,811",32,"98,795","7,174,680",72.6
4-5,0.000270,"98,780",27,"98,766","7,075,884",71.6
5-6,0.000269,"98,753",27,"98,740","6,977,118",70.7
6-7,0.000245,"98,726",24,"98,714","6,878,378",69.7
7-8,0.000222,"98,702",22,"98,691","6,779,664",68.7
8-9,0.000196,"98,680",19,"98,671","6,680,973",67.7
9-10,0.000171,"98,661",17,"98,652","6,582,302",66.7
10-11,0.000153,"98,644",15,"98,636","6,483,650",65.7
11-12,0.000158,"98,629",16,"98,621","6,385,014",64.7
12-13,0.000200,"98,613",20,"98,604","6,286,392",63.7
13-14,0.000289,"98,594",29,"98,579","6,187,789",62.8
14-15,0.000414,"98,565",41,"98,545","6,089,210",61.8
15-16,0.000553,"98,524",54,"98,497","5,990,665",60.8
16-17,0.000691,"98,470",68,"98,436","5,892,168",59.8
17-18,0.000833,"98,402",82,"98,361","5,793,732",58.9
18-19,0.000973,"98,320",96,"98,272","5,695,371",57.9
19-20,0.001109,"98,224",109,"98,170","5,597,099",57.0
20-21,0.001247,"98,115",122,"98,054","5,498,929",56.0
21-22,0.001380,"97,993",135,"97,925","5,400,875",55.1
22-23,0.001485,"97,858",145,"97,785","5,302,950",54.2
23-24,0.001551,"97,712",152,"97,637","5,205,165",53.3
24-25,0.001588,"97,561",155,"97,483","5,107,528",52.4
25-26,0.001616,"97,406",157,"97,327","5,010,045",51.4
26-27,0.001647,"97,249",160,"97,169","4,912,717",50.5
27-28,0.001684,"97,088",163,"97,007","4,815,549",49.6
28-29,0.001735,"96,925",168,"96,841","4,718,542",48.7
29-30,0.001802,"96,757",174,"96,670","4,621,701",47.8
30-31,0.001880,"96,582",182,"96,492","4,525,031",46.9
31-32,0.001966,"96,401",190,"96,306","4,428,540",45.9
32-33,0.002066,"96,211",199,"96,112","4,332,234",45.0
33-34,0.002174,"96,013",209,"95,908","4,236,122",44.1
34-35,0.002284,"95,804",219,"95,694","4,140,214",43.2
35-36,0.002402,"95,585",230,"95,470","4,044,519",42.3
36-37,0.002530,"95,355",241,"95,235","3,949,049",41.4
37-38,0.002657,"95,114",253,"94,988","3,853,814",40.5
38-39,0.002786,"94,861",264,"94,729","3,758,826",39.6
39-40,0.002927,"94,597",277,"94,459","3,664,097",38.7
40-41,0.003093,"94,320",292,"94,174","3,569,638",37.8
41-42,0.003286,"94,029",309,"93,874","3,475,464",37.0
42-43,0.003494,"93,720",327,"93,556","3,381,590",36.1
