Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.011198,"100,000","1,120","99,025","7,486,798",74.9
1-2,0.000623,"98,880",62,"98,849","7,387,773",74.7
2-3,0.000462,"98,819",46,"98,796","7,288,924",73.8
3-4,0.000334,"98,773",33,"98,756","7,190,128",72.8
4-5,0.000284,"98,740",28,"98,726","7,091,372",71.8
5-6,0.000259,"98,712",26,"98,699","6,992,646",70.8
6-7,0.000229,"98,686",23,"98,675","6,893,947",69.9
7-8,0.000201,"98,664",20,"98,654","6,795,272",68.9
8-9,0.000171,"98,644",17,"98,635","6,696,618",67.9
9-10,0.000142,"98,627",14,"98,620","6,597,982",66.9
10-11,0.000120,"98,613",12,"98,607","6,499,362",65.9
11-12,0.000122,"98,601",12,"98,595","6,400,755",64.9
12-13,0.000164,"98,589",16,"98,581","6,302,160",63.9
13-14,0.000255,"98,573",25,"98,560","6,203,579",62.9
14-15,0.000384,"98,548",38,"98,529","6,105,019",61.9
15-16,0.000519,"98,510",51,"98,484","6,006,490",61.0
16-17,0.000654,"98,459",64,"98,427","5,908,006",60.0
17-18,0.000804,"98,394",79,"98,355","5,809,579",59.0
18-19,0.000967,"98,315",95,"98,268","5,711,224",58.1
19-20,0.001131,"98,220",111,"98,165","5,612,957",57.1
20-21,0.001300,"98,109",128,"98,045","5,514,792",56.2
21-22,0.001452,"97,982",142,"97,911","5,416,746",55.3
22-23,0.001557,"97,839",152,"97,763","5,318,836",54.4
23-24,0.001605,"97,687",157,"97,609","5,221,073",53.4
24-25,0.001613,"97,530",157,"97,452","5,123,464",52.5
25-26,0.001608,"97,373",157,"97,295","5,026,012",51.6
26-27,0.001612,"97,216",157,"97,138","4,928,718",50.7
27-28,0.001629,"97,060",158,"96,981","4,831,580",49.8
28-29,0.001672,"96,901",162,"96,820","4,734,599",48.9
29-30,0.001738,"96,739",168,"96,655","4,637,779",47.9
30-31,0.001813,"96,571",175,"96,484","4,541,124",47.0
31-32,0.001890,"96,396",182,"96,305","4,444,640",46.1
32-33,0.001979,"96,214",190,"96,119","4,348,335",45.2
33-34,0.002074,"96,024",199,"95,924","4,252,216",44.3
34-35,0.002174,"95,825",208,"95,720","4,156,292",43.4
35-36,0.002286,"95,616",219,"95,507","4,060,571",42.5
36-37,0.002406,"95,398",230,"95,283","3,965,064",41.6
37-38,0.002523,"95,168",240,"95,048","3,869,782",40.7
38-39,0.002636,"94,928",250,"94,803","3,774,734",39.8
39-40,0.002754,"94,678",261,"94,547","3,679,931",38.9
40-41,0.002895,"94,417",273,"94,280","3,585,384",38.0
41-42,0.003065,"94,143",289,"93,999","3,491,104",37.1
42-43,0.003255,"93,855",305,"93,702","3,397,104",36.2
43-44,0.003460,"93,549",324,"93,388","3,303,402",35.3
44-45,0.003682,"93,226",343,"93,054","3,210,015",34.4
45-46,0.003919,"92,882",364,"92,700","3,116,961",33.6
46-47,0.004192,"92,518",388,"92,325","3,024,260",32.7
47-48,0.004527,"92,131",417,"91,922","2,931,936",31.8
48-49,0.004940,"91,714",453,"91,487","2,840,014",31.0
49-50,0.005420,"91,260",495,"91,013","2,748,526",30.1
50-51,0.005920,"90,766",537,"90,497","2,657,513",29.3
51-52,0.006439,"90,229",581,"89,938","2,567,016",28.5
52-53,0.007022,"89,648",630,"89,333","2,477,078",27.6
53-54,0.007679,"89,018",684,"88,676","2,387,745",26.8
54-55,0.008397,"88,335",742,"87,964","2,299,069",26.0
55-56,0.009138,"87,593",800,"87,193","2,211,105",25.2
56-57,0.009895,"86,792",859,"86,363","2,123,913",24.5
57-58,0.010705,"85,934",920,"85,474","2,037,550",23.7
58-59,0.011597,"85,014",986,"84,521","1,952,076",23.0
59-60,0.012581,"84,028","1,057","83,499","1,867,555",22.2
60-61,0.013669,"82,971","1,134","82,403","1,784,056",21.5
