Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.011246,"100,000","1,125","99,021","7,510,396",75.1
1-2,0.000710,"98,875",70,"98,840","7,411,375",75.0
2-3,0.000417,"98,805",41,"98,785","7,312,535",74.0
3-4,0.000334,"98,764",33,"98,748","7,213,750",73.0
4-5,0.000242,"98,731",24,"98,719","7,115,003",72.1
5-6,0.000233,"98,707",23,"98,696","7,016,284",71.1
6-7,0.000204,"98,684",20,"98,674","6,917,588",70.1
7-8,0.000179,"98,664",18,"98,655","6,818,914",69.1
8-9,0.000156,"98,646",15,"98,639","6,720,259",68.1
9-10,0.000137,"98,631",14,"98,624","6,621,620",67.1
10-11,0.000127,"98,617",13,"98,611","6,522,996",66.1
11-12,0.000136,"98,605",13,"98,598","6,424,385",65.2
12-13,0.000177,"98,591",17,"98,583","6,325,787",64.2
13-14,0.000256,"98,574",25,"98,561","6,227,204",63.2
14-15,0.000365,"98,549",36,"98,531","6,128,643",62.2
15-16,0.000477,"98,513",47,"98,489","6,030,113",61.2
16-17,0.000592,"98,466",58,"98,437","5,931,623",60.2
17-18,0.000726,"98,407",71,"98,372","5,833,187",59.3
18-19,0.000876,"98,336",86,"98,293","5,734,815",58.3
19-20,0.001026,"98,250",101,"98,199","5,636,522",57.4
20-21,0.001178,"98,149",116,"98,091","5,538,323",56.4
21-22,0.001311,"98,033",128,"97,969","5,440,232",55.5
22-23,0.001404,"97,905",137,"97,836","5,342,263",54.6
23-24,0.001451,"97,767",142,"97,696","5,244,427",53.6
24-25,0.001466,"97,626",143,"97,554","5,146,730",52.7
25-26,0.001470,"97,482",143,"97,411","5,049,176",51.8
26-27,0.001484,"97,339",144,"97,267","4,951,765",50.9
27-28,0.001507,"97,195",146,"97,121","4,854,499",49.9
28-29,0.001550,"97,048",150,"96,973","4,757,377",49.0
29-30,0.001610,"96,898",156,"96,820","4,660,404",48.1
30-31,0.001675,"96,742",162,"96,661","4,563,584",47.2
31-32,0.001743,"96,580",168,"96,496","4,466,923",46.3
32-33,0.001821,"96,411",176,"96,324","4,370,428",45.3
33-34,0.001908,"96,236",184,"96,144","4,274,104",44.4
34-35,0.002003,"96,052",192,"95,956","4,177,960",43.5
